,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
actiondesc_fireball_ray,Causes the projectile to cast fireballs in random directions as it flies,Заставляет снаряд в полёте испускать огненные шары в случайных направлениях,Faz o projétil lançar bolas de fogo em direções aleatórias em seu trajeto.,Hace que el proyectil lance bolas de fuego mientras se desplaza,"Bewirkt, dass das Projektil im Flug Feuerbälle in zufällige Richtungen schießt",Le projectile en vol lance des boules de feu dans des directions aléatoires,令投射物在飞行中向随机方向发射火球,放射物が飛行中にランダムな方角へ火の玉を発射するようにする,발사체가 날아가면서 무작위 방향으로 화염구를 던집니다,,,,
action_hitfx_oiled_freeze,Oil freeze,Заморозка нефти,Congelando petróleo,Aceite congelante,Ölfrost,Gel d'huile,油污冻结,オイル凍結,기름 얼리기,,,,
actiondesc_hitfx_oiled_freeze,Enemies drenched in oil freeze on collision with projectile,Покрытые нефтью враги при столкновении со снарядом замерзают,Inimigos cobertos em petróleo congelam ao serem atingidos por um projétil.,Los enemigos aceitosos se congelan al ser alcanzados por el proyectil,"Feinde, die in Öl getränkt sind gefrieren, wenn sie vom Projektil getroffen werden",Les ennemis imbibés d'huile sont gelés lorsqu'ils sont touchés par le projectile,投射物碰撞敌人时，令敌人沾满油污并被冻结,オイルまみれになっている敵が放射物に当たると凍結する,기름에 젖은 적들이 발사체와 충돌 시 얼어붙습니다,,,,
action_alcohol_shot,Alcohol shot,Алкоголь выстрел,Disparo alcoólico,Golpe alcoholizante,Alkoholschuss,Tir alcoolisé,美酒一杯,アルコールショット,알코올 사격,,,,
actiondesc_alcohol_shot,Enemies hit become drunk for a while on collision with projectile,При столкновении со снарядом враги на некоторое время опьяняются,Os inimigos ficam bêbados por algum tempo ao serem atingidos por um projétil.,Los enemigos alcanzados por el proyectil quedan emborrachados durante un tiempo,"Feinde werden für einige Zeit betrunken, wenn sie von Projektilen getroffen werden",Les ennemis deviennent ivres pendant un moment lorsqu'ils sont touchés par le projectile,投射物碰撞敌人时，短时间内令敌人酩酊大醉,放射物に当たった敵は、しばらくの間に泥酔状態になる,발사체에 명중한 적이 술에 취한 상태가 됩니다,,,,
action_freeze_if_wet_shooter,Freeze if wet,Заморозка влагой,Molhado congelante,Congelar al mojarse,Frost bei Nässe,Gel si mouillé,化水为冰,湿気は凍結,젖은 상태면 얼리기,,,,
actiondesc_freeze_if_wet_shooter,"If caster is wet, enemies will be frozen on collision with projectile","Если заклинатель покрыт влагой, враги при столкновении со снарядом будут замораживаться","Se o lançador estiver molhado, os inimigos serão congelados ao serem atingidos por um projétil.","Si el lanzador está mojado, sus proyectiles congelan","Wenn der Wirker nass ist, gefrieren die Feinde beim Aufprall des Projektils","Si le lanceur est mouillé, les ennemis seront gelés lorsqu'ils sont touchés par le projectile",施术者潮湿状态下，投射物碰撞敌人时将会令敌人冻结,詠唱者が濡れている場合、敵が放射物に接触すると凍結する,시전자가 젖은 상태이면 발사체에 명중한 적이 얼어붙습니다,,,,
action_blindness,Blindness,Слепота,Cegueira,Ceguera,Blindheit,Aveuglement,目盲,盲目,실명,,,,
actiondesc_blindness,I can't see!,Ничего не вижу!,Não enxergo nada!,¡No veo nada!,Ich kann nichts sehen!,Je ne vois rien !,我看不见了！,何も見えない！,눈이 안 보여요!,,,,
action_teleportation,Teleportation,Телепортация,Teletransporte,Teletransporte,Teleportierung,Téléportation,传送,テレポーテーション,텔레포트,,,,
actiondesc_teleportation,Spells cast alongside this will teleport enemies,Накладываемые параллельно заклинания телепортируют врагов,Feitiços lançados perto deste com esse teletransportarão inimigos.,Los hechizos lanzados con este teletransportan a los enemigos,"Zauber, die hiermit gewirkt werden, teleportieren Feinde",Les sorts lancés avec téléporteront les ennemis,随之施放的法术将可将敌人传送,これと同時にかけられた呪文は敵をテレポートする,같이 시전된 주문이 적을 텔레포트합니다,,,,
action_telepathy,Telepathy,Телепатия,Telepatia,Telepatía,Telepathie,Télépathie,心灵感应,テレパシー,텔레파시,,,,
actiondesc_telepathy,Sense other beings through walls,Позволяет ощущать других существ сквозь стены,Sinta outros seres através das paredes.,Detecta a otros seres a través de las paredes,Du nimmst andere Wesen durch Wände wahr,Détectez les autres créatures à travers les murs,透过墙壁感应其他存在,壁を通して他の存在を感知する,벽 너머에 있는 다른 존재를 감지합니다,,,,
action_arc_electric,Electric Arc,Электрическая дуга,Arco elétrico,Arco eléctrico,Lichtbogen,Arc électrique,电弧,電撃アーク,전기 아크,,,,
actiondesc_arc_electric,Projectiles will have arcs of lightning surging between them,Между снарядами будут электрические дуги,Os projéteis terão arcos de raio se movendo entre eles.,Arcos eléctricos surgen entre los proyectiles,Zwischen Projektilen fließen elektrische Lichtbögen.,Les projectiles seront parcourus d'arcs électriques,投射物之间将有闪电电弧涌现,放射物の間で弧を描く稲妻が湧き上がる,발사체들 사이에 전기 아크가 발생합니다,,,,
action_arc_fire,Fire Arc,Огненная дуга,Arco de fogo,Arco de fuego,Feuerbogen,Arc de feu,火焰弧,炎のアーク,화염 아크,,,,
actiondesc_arc_fire,Projectiles will have arcs of fire burning between them,Между снарядами будут огненные дуги,Os projéteis terão arcos de fogo queimando entre eles.,Arcos de fuego surgen entre los proyectiles,Zwischen Projektilen brennen Feuerbögen.,Les projectiles seront parcourus d'arcs de feu,投射物之间将有由火焰组成的弧闪现,放射物の間で弧を描く炎が燃え盛る,발사체들 사이에 불이 발생합니다,,,,
action_arc_gunpowder,Gunpowder Arc,Пороховая дуга,Arco de pólvora,Arco de pólvora,Schießpulver-Bogen,Arc de poudre à canon,火药弧,火薬アーク,화약 아크,,,,
actiondesc_arc_gunpowder,Projectiles will have arcs of gunpowder flowing between them,Между снарядами будут пороховые дуги,Os projéteis terão arcos de pólvora fluindo entre eles.,Arcos de pólvora surgen entre los proyectiles,Zwischen Projektilen fließen Schießpulverbögen.,Les projectiles seront parcourus d'arcs de poudre à canon,投射物之间将有由火药组成的弧出现,放射物の間で弧を描いて火薬が流れる,발사체들 사이에 화약이 흐릅니다,,,,
action_arc_poison,Poison Arc,Ядовитая дуга,Arco de veneno,Arco venenoso,Giftbogen,Arc de poison,毒液弧,猛毒アーク,독 아크,,,,
actiondesc_arc_poison,Projectiles will have arcs of poison flowing between them,Между снарядами будут ядовитые дуги,Os projéteis terão arcos de veneno fluindo entre eles.,Arcos de veneno surgen entre los proyectiles,Zwischen Projektilen fließen Giftbögen.,Les projectiles seront parcourus d'arcs de poison,投射物之间将有由毒素组成的弧出现,放射物の間で弧を描いて毒が流れる,발사체들 사이에 독이 흐릅니다,,,,
action_polymorph,Polymorph charge,Polymorph charge,Polymorph charge,Polymorph charge,Polymorph-Ladung,Polymorph charge,变形放射,多形体チャージ,변신 충전,,,,
actiondesc_polymorph,Baaaaa,Бе-е-е-е,Baaaaa!,Beeeee,Määääh,Bééééé,咩咩咩咩,バーーーー,메에에에,,,,
action_berserk,Berserk,Неистовство,Fúria,Berserker,Berserker,Berserker,狂暴,バーサーク,버서커,,,,
actiondesc_berserk,"Target enters a state of wild fury, attacking anyone nearby and getting a 2x damage boost",Цель впадает в дикую ярость и атакует всех поблизости с двухкратным увеличением урона,"O alvo entra em um estado de fúria descontrolada, atacando todos que estiverem próximos com o dobro do dano.","El objetivo se vuelve furioso, atacando a cualquiera que esté cerca con una bonificación de daño doble.","Das Ziel verfällt in einen Zustand wilder Wut, greift jeden in der Nähe an und richtet doppelten Schaden an","La cible entre dans un état de folie furieuse, attaquant quiconque se trouve à proximité et bénéficiant d'un boost de dégâts x2",目标进入狂怒状态，攻击附近的一切并获得 2x 伤害加成,ターゲットは激高状態になり、近くにいる全員を攻撃し、2倍のダメージブーストを手に入れる,상대가 미친듯이 날뛰며 근처에 있는 모든 것을 공격하고 2배 대미지 부스트를 받습니다,,,,
action_charm,Charm,Чары,Charme,Embrujar,Bezauberung,Charme,迷惑,チャーム,매료,,,,
actiondesc_charm,Target becomes friendly to the caster,Цель становится дружественной к заклинателю,O alvo fica não hostil ao lançador.,El objetivo se vuelve amistoso,Das Ziel wird freundlich gegenüber dem Wirker,La cible devient amicale envers le lanceur,目标对施术者变得友好,ターゲットが詠唱者に対して友好的になる,타겟이 시전자의 아군이 됩니다,,,,
action_x_ray,All-seeing eye,Всевидящее око,O olho que tudo vê,El ojo que todo lo ve,Allsehendes Auge,Œil omniscient,全知之眼,お見通し,천리안,,,,
actiondesc_x_ray,See into the unexplored. But not everywhere...,Узрите неизведанное. Но не везде…,"Veja o inexplorado, mas não todo lugar...",Mira hacia lo desconocido. Pero no funciona con todos los lugares...,Sehe das Unergründete. Aber nicht überall …,Sondez l'inconnu. Mais pas partout...,窥视未曾探索区域，但并非毫无限制...,まだ行ったこのない場所を見ることができる。だが、どこでもというわけではない…,탐사하지 않은 곳을 볼 수 있습니다. 모든 곳을 볼 수 있는 건 아닙니다...,,,,
action_x_ray_modifier,X-ray modifier,Рентгеновский модификатор,Modificador de raio x,Modificador rayos X,Röntgen-Modifikator,Modificateur rayons X,透视修正,レントゲン調整盤,X-레이 조작,,,,
actiondesc_x_ray_modifier,Projectile lights the way in the darkness,Снаряд освещает путь в темноте,Os projéteis iluminam o caminho na escuridão.,El proyectil ilumina el camino en la oscuridad,Projektile beleuchten den Weg in der Dunkelheit,Le projectile éclaire le chemin dans les ténèbres,投射物照亮黑暗中的路途,放射物が闇に光を照らす,발사체가 어둠 속을 밝힙니다,,,,
action_acid,Acid,Кислота,Ácido,Ácido,Säure,Acide,酸液,酸,산성,,,,
actiondesc_acid,Projectiles turn into acid on collision,Снаряды при столкновении превращаются в кислоту,Os projéteis se tornam ácido no impacto.,Los proyectiles se transforman en ácido al impactar,Projektile verwandeln sich beim Aufprall in Säure,Le projectile se transforme en acide à l'impact,投射物碰撞时化为酸液,放射物が接触時に酸に変わる,발사체가 충돌 시 산성이 됩니다,,,,
action_unstable_gunpowder,Firecrackers,Хлопушка,Bombinhas,Petardos,Feuerwerkskörper,Pétards,爆竹,爆竹,불꽃놀이,,,,
actiondesc_unstable_gunpowder,Projectiles explode multiple times on impact,Снаряды при ударе взрываются несколько раз,Os projéteis explodem várias vezes no impacto.,Los proyectiles explotan varias veces al impactar,Projektile explodieren beim Aufprall mehrmals,Les projectiles exploseront plusieurs fois à l'impact,投射物击中目标时发生多次爆炸,放射物が衝撃で複数回爆発する,발사체가 충돌 시 여러 번 폭발합니다,,,,
action_acid_trail,Acid trail,Кислотный след,Trilha de ácido,Rastro de ácido,Säurespur,Traînée d'acide,酸液轨迹,酸の痕跡,산성 궤적,,,,
actiondesc_acid_trail,Projectiles leave a trail of acid,Снаряды оставляют след из кислоты,Os projéteis deixam uma trilha de ácido.,Los proyectiles dejan un rastro de ácido,Projektile hinterlassen eine Spur aus Säure,Les projectiles laissent une traînée d'acide,投射物留下酸液轨迹,放射物が酸の痕跡を残す,발사체가 산성 궤적을 남깁니다,,,,
action_poison_trail,Poison trail,Ядовитый след,Trilha de veneno,Rastro venenoso,Giftspur,Traînée de poison,毒素轨迹,毒の痕跡,독 궤적,,,,
actiondesc_poison_trail,Projectiles leave a trail of poison,Снаряды оставляют след из яда,Os projéteis deixam uma trilha de veneno.,Los proyectiles dejan un rastro venenoso,Projektile hinterlassen eine Spur aus Gift,Les projectiles laissent une traînée de poison,投射物留下毒素轨迹,放射物が毒の痕跡を残す,발사체가 독 궤적을 남깁니다,,,,
action_oil_trail,Oil trail,Нефтяной след,Trilha de petróleo,Rastro de aceite,Ölspur,Traînée d'huile,油液轨迹,オイルの痕跡,기름 궤적,,,,
actiondesc_oil_trail,Projectiles leave a trail of oil,Снаряды оставляют след из нефти,Os projéteis deixam uma trilha de petróleo.,Los proyectiles dejan un rastro de aceite,Projektile hinterlassen eine Spur aus Öl,Les projectiles laissent une traînée d'huile,投射物留下油液轨迹,放射物がオイルの痕跡を残す,발사체가 기름 궤적을 남깁니다,,,,
action_water_trail,Water trail,Водной след,Trilha de água,Rastro de agua,Wasserspur,Traînée d'eau,清水轨迹,水の痕跡,물 궤적,,,,
actiondesc_water_trail,Projectiles leave a trail of water,Снаряды оставляют след из воды,Os projéteis deixam uma trilha de água.,Los proyectiles dejan un rastro de agua,Projektile hinterlassen eine Spur aus Wasser,Les projectiles laissent une traînée d'eau,投射物留下清水轨迹,放射物が水の痕跡を残す,발사체가 물 궤적을 남깁니다,,,,
action_blood_trail,Blood trail,Кровавый след,Trilha de sangue,Rastro de sangre,Blutspur,Traînée de sang,血液轨迹,血の痕跡,피 궤적,,,,
actiondesc_blood_trail,Projectiles leave a trail of blood,Снаряды оставляют след из крови,Os projéteis deixam uma trilha de sangue.,Los proyectiles dejan un rastro de sangre,Projektile hinterlassen eine Spur aus Blut,Les projectiles laissent une traînée de sang,投射物留下血液轨迹,放射物が血の痕跡を残す,발사체가 피 궤적을 남깁니다,,,,
action_gunpowder_trail,Gunpowder trail,Пороховой след,Trilha de pólvora,Rastro de pólvora,Schießpulverspur,Traînée de poudre à canon,火药轨迹,火薬の痕跡,화약 궤적,,,,
actiondesc_gunpowder_trail,Projectiles leave a trail of gunpowder,Снаряды оставляют след из пороха,Os projéteis deixam uma trilha de pólvora.,Los proyectiles dejan un rastro de pólvora,Projektile hinterlassen eine Spur aus Schießpulver,Les projectiles laissent une traînée de poudre à canon,投射物留下火药轨迹,放射物が火薬の痕跡を残す,발사체가 화약 궤적을 남깁니다,,,,
action_fire_trail,Fire trail,Огненный след,Trilha de fogo,Rastro de fuego,Feuerspur,Traînée de feu,火焰轨迹,炎の痕跡,화염 궤적,,,,
actiondesc_fire_trail,Projectiles leave a trail of fiery particles,Снаряды оставляют след из огненных частиц,Os projéteis deixam uma trilha de partículas flamejantes.,Los proyectiles dejan un rastro de fuego,Projektile hinterlassen eine Spur aus Feuer,Les projectiles laissent une traînée de particules enflammées,投射物留下炽热粒子的轨迹,放射物が火花の痕跡を残す,발사체가 화염 궤적을 남깁니다,,,,
action_burn_trail,Burning trail,Горящий след,Trilha flamejante,Rastro ardiente,Brennende Spur,Traînée brûlante,燃烧轨迹,燃焼の痕跡,타오르는 궤적,,,,
actiondesc_burn_trail,A tail of fire follows the projectile,За снарядом остается след из огня,Uma trilha de fogo segue o projétil.,Un rastro de fuego sigue al proyectil,Eine Spur aus Feuer folgt dem Projektil,Une traînée de feu suit le projectile,投射物后有火焰尾迹,炎の痕跡が放射物を追尾する,발사체 뒤에 불이 따라갑니다,,,,
action_torch,Torch,Факел,Tocha,Antorcha,Fackel,Torche,火把,たいまつ,횃불,,,,
actiondesc_torch,Lights your wand right up!,Зажгите свой жезл!,Acende a sua varinha!,¡Ilumina tu varita al instante!,Entzündet deinen Zauberstab!,Embrase votre baguette !,让你的魔杖亮起来！,杖を一気に明るく！,완드를 높이 드세요!,,,,
action_torch_electric,Electric Torch,Электрический факел,Tocha elétrica,Antorcha eléctrica,Elektrische Fackel,Torche électrique,电子火把,電撃たいまつ,전기 횃불,,,,
actiondesc_torch_electric,A bright but very dangerous light!,"Яркий, но очень опасный свет!","Uma luz brilhante, porém muito perigosa!",¡Una luz muy brillante pero peligrosa!,Ein helles aber sehr gefährliches Licht!,Une lumière brillante mais très dangereuse !,明亮而极度危险的光！,明るいが、非常に危険な光！,아주 위험하지만 매우 밝습니다!,,,,
action_light,Light,Свет,Luz,Luz,Licht,Lumière,光,ライト,빛,,,,
actiondesc_light,Projectiles illuminate their surroundings,Снаряды освещают окружение,Os projéteis iluminam seus arredores.,Los proyectiles iluminan los alrededores,Projektile beleuchten die Umgebung,Les projectiles illuminent les environs,照亮周围的投射物,周辺を明るく照らす放射物,발사체가 주변을 환하게 밝힙니다,,,,
action_energy_shield,Energy shield,Энергетический щит,Escudo de energia,Escudo de energía,Energieschild,Bouclier d'énergie,能量盾,エネルギーシールド,에너지 방패,,,,
actiondesc_energy_shield,Deflects incoming projectiles,Отражает летящие в вас снаряды,Deflete projéteis.,Desvía los proyectiles enemigos,Reflektiert auftreffende Projektile,Dévie les projectiles,偏斜射来的投射物,向かってくる放射物の方向を変える,가까이 오는 발사체를 튕겨냅니다,,,,
action_energy_shield_sector,Energy shield sector,Сектор энергетического щита,Setor de escudo de energia,Escudo de energía estático,Energieschild-Sektor,Secteur de bouclier d'énergie,能量盾部分,エネルギーシールドセクター,에너지 방패 섹터,,,,
actiondesc_energy_shield_sector,Deflects incoming projectiles,Отражает летящие в вас снаряды,Deflete projéteis.,Desvía los proyectiles enemigos,Reflektiert auftreffende Projektile,Dévie les projectiles,偏斜射来的投射物,向かってくる放射物の方向を変える,가까이 오는 발사체를 튕겨냅니다,,,,
action_duplicate_on_death,Duplicate,Дублирование,Duplicata,Duplicar,Duplikat,Copie,复制,重複,복제,,,,
actiondesc_duplicate_on_death,Projectile clones itself x2 on collision,Снаряд при столкновении создает две своих копии,O projétil cria um clone de si no impacto.,Los proyectiles se duplican al impactar,Projektil klont sich beim Aufprall zweimal,Le projectile se duplique à l'impact,投射物在撞击时将克隆 2 个自身,放射物が接触時に2つに増える,발사체가 충돌 시 2배로 자가 복제합니다,,,,
action_bee,Bee,Пчела,Abelha,Abeja,Biene,Abeille,蜜蜂,ハチ,벌,,,,
actiondesc_bee,Bee,Пчела,Abelha!,Abeja,Biene,Abeille,蜜蜂,ハチ,벌,,,,
action_duck,Duck,Утка,Pato,Pato,Ente,Canard,鸭子,アヒル,오리,,,,
actiondesc_duck,Duck!,Утка!,Pato!,¡Pato!,Ente!,Canard !,鸭子！,アヒル！,오리!,,,,
action_sheep,Sheep,Овца,Ovelha,Oveja,Schaf,Mouton,绵羊,ヒツジ,양,,,,
actiondesc_sheep,Sheep!,Овца!,Ovelha!,¡Oveja!,Schaf!,Mouton !,绵羊！,ヒツジ！,양!,,,,
action_misfire,Misfire,Осечка,Fracasso,Fallo,Fehlzündung,Raté,哑火,不発,불발,,,,
actiondesc_misfire,Discard 1 spell,Убирает одно заклинание,Descarte um feitiço.,Descarta 1 hechizo,Verwirft 1 Zauber,Débarrassez-vous d'un sort,抛弃 1 个法术,1つの呪文を破棄する,주문 1개를 버립니다,,,,
action_misfire_critical,Misfire (critical),Осечка (критическая),Fracasso (crítico),Fallo (crítico),Fehlzündung (kritisch),Raté (critique),哑火（严重）,不発(クリティカル),불발(치명타),,,,
actiondesc_misfire_critical,Permanently destroy 1 spell,Навсегда уничтожает одно заклинание,Destrua um feitiço permanentemente.,Destruye un hechizo permanentemente,Zerstört dauerhaft 1 Zauber,Détruisez un sort définitivement,永久性破坏 1 个法术,1つの呪文を永久に破壊する,주문 1개를 영구적으로 파괴합니다,,,,
action_generate_random_deck_5,Generate random deck (5),Создать случайную колоду (5),Gerar baralho aleatório (5),Generar baraja aleatoria (5),Zufallsdeck generieren (5),Génère un deck aléatoire (5),生成随机卡组 (5),ランダムな組み合わせを生成する(5),무작위 덱(5)을 생성합니다,,,,
actiondesc_generate_random_deck_5,Current deck is replaced with a random deck of 5 cards,Текущая колода заменяется случайной колодой из пяти карт.,O baralho atual é substituído por um aleatório de cinco cartas.,La baraja actual se sustituye por una baraja aleatoria de 5 cartas,Das aktuelle Deck wird durch ein zufälliges Deck aus 5 Karten ersetzt.,Le deck actuel est remplacé par un deck aléatoire de 5 cartes,以 5 张卡牌组成的随机卡组替换当前卡组,現在の組み合わせが、5枚のカードのランダムな組み合わせと入れ替えられる,현재 덱이 5개 카드로 구성된 무작위 덱으로 교체됩니다,,,,
action_testbullet,DEBUG BULLET,ОТЛАДОЧНАЯ ПУЛЯ,BALA DE DEPURAÇÃO,DISPARO DEPURADOR,DEBUG-KUGEL,BALLE DE DÉBOGAGE,杀“虫”子弹,デバグ銃弾,디버그 총알,,,,
actiondesc_testbullet,A weak but enchanting sparkling projectile,"Очаровательно сверкающий, но слабый снаряд","Um projétil fraco, porém reluzente e encantador.",Un débil pero encantador y brillante proyectil,"Ein schwaches, aber zauberhaft funkelndes Projektil",Un projectile brillant faible mais enchanteur,弱小但带有迷人闪烁的投射物,弱いが魅惑的なキラキラした放射物,약하지만 매력적인 빛나는 발사체입니다,,,,
action_light_bullet,Spark bolt,Искровая молния,Virote de fagulha,Rayo de chispa,Funkenblitz,Trait d'étincelle,火花弹,スパークボルト,불꽃 볼트,,,,
actiondesc_light_bullet,A weak but enchanting sparkling projectile,"Очаровательно сверкающий, но слабый снаряд","Um projétil fraco, porém reluzente e encantador.",Un débil pero encantador y brillante proyectil,"Ein schwaches, aber zauberhaft funkelndes Projektil",Un projectile brillant faible mais enchanteur,弱小但带有迷人闪烁的投射物,弱いが魅惑的なキラキラした放射物,약하지만 매력적인 빛나는 발사체입니다,,,,
action_air_bullet,Burst of air,Взрыв воздуха,Sopro de ar,Chorro de aire,Luftzug,Rafale d'air,强气流,空気破裂,공기 폭발,,,,
actiondesc_air_bullet,Brittle flow of air capable of greatly moving things,"Легкий поток воздуха, способный перемещать предметы",Sopro frágil de ar capaz de mover coisas.,Un chorro de aire insignificante capaz de mover grandes cosas,"Scharfer Luftzug, der in der Lage ist, Gegenstände weit zu bewegen",Un courant d'air capable de déplacer des choses,能够让物体大幅移动的一道气流,物を大幅に動かすことのできる不安定な空気の流れ,공기가 강렬하게 움직이며 물건을 움직입니다,,,,
action_light_bullet_trigger,Spark bolt with trigger,Искровая молния с активацией,Virote de fagulha com gatilho,Rayo de chispa activado,Funkenblitz mit Auslöser,Trait d'étincelle à déclenchement,带有触发的火花弹,トリガー付きのスパークボルト,트리거가 있는 불꽃 볼트,,,,
actiondesc_light_bullet_trigger,A spark bolt that casts another spell upon collision,"Искровая молния, при столкновении вызывает другое заклинание",Um virote de fagulha que lança outro feitiço no impacto.,Un Rayo de chispa que lanza otro hechizo al impactar,"Ein Funkenblitz, der nach dem Aufprall einen weiteren Zauber auslöst.",Un trait d'étincelle qui lance un autre sort à l'impact,在碰撞时施放另一法术的火花弹,接触時にもう1つの呪文をかけるスパークボルト,충돌 시 다른 주문을 시전하는 불꽃 볼트입니다,,,,
action_light_bullet_trigger_2,Spark bolt with double trigger,Искровая молния с двойной активацией,Virote de fagulha com gatilho duplo,Rayo de chispa doblemente activado,Funkenblitz mit Doppelauslöser,Trait d'étincelle à double déclenchement,带有双重触发的火花弹,ダブルトリガー付きのスパークボルト,더블 트리거가 있는 불꽃 볼트,,,,
actiondesc_light_bullet_trigger_2,A spark bolt that casts two new spells upon collision,"Искровая молния, при столкновении вызывает два новых заклинания",Um virote de fagulha que lança dois outros feitiços no impacto.,Un Rayo de chispa que lanza dos hechizos al impactar,"Ein Funkenblitz, der nach dem Aufprall zwei weitere Zauber auslöst.",Un trait d'étincelle qui lance deux nouveaux sorts à l'impact,在碰撞时施放两个全新法术的火花弹,接触時にさらに2つの新しい呪文をかけるスパークボルト,충돌 시 다른 주문 2개를 시전하는 불꽃 볼트입니다,,,,
action_light_bullet_timer,Spark bolt with timer,Искровая молния с таймером,Virote de fagulha com cronômetro,Rayo de chispa con temporizador,Funkenblitz mit Timer,Trait d'étincelle minuté,带有定时的火花弹,タイマー付きのスパークボルト,타이머가 있는 불꽃 볼트,,,,
actiondesc_light_bullet_timer,A spark bolt that casts another spell after a timer runs out,"Искровая молния, через определенное время вызывает другое заклинание",Um virote de fagulha que lança outro feitiço quando o tempo acaba.,Un Rayo de chispa que lanza otro hechizo cuando se agota el tiempo,"Ein Funkenblitz, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft.",Un trait d'étincelle qui lance un autre sort à la fin d'une minuterie,在定时结束后施放另一法术的火花弹,時間切れになった後にもう1つの呪文をかけるスパークボルト,충돌 시 타이머가 만료되면 다른 주문을 시전하는 불꽃 볼트입니다,,,,
action_bullet,Magic arrow,Волшебная стрела,Flecha mágica,Flecha mágica,Magischer Pfeil,Flèche magique,魔法箭,魔法の矢,마법 화살,,,,
actiondesc_bullet,A handy magical arrow,Удобная волшебная стрела,Uma flecha mágica e bem útil.,Una flecha mágica útil,Ein praktischer magischer Pfeil,Une flèche magique pratique,好用的魔法箭,便利な魔法の矢,유용한 마법 화살입니다,,,,
action_bullet_trigger,Magic arrow with trigger,Волшебная стрела с активацией,Flecha mágica com gatilho,Flecha mágica activada,Magischer Pfeil mit Auslöser,Flèche magique à déclenchement,带有触发的魔法箭,トリガー付きの魔法の矢,트리거가 있는 마법 화살,,,,
actiondesc_bullet_trigger,A magical arrow that casts another spell upon collision,"Волшебная стрела, при столкновении вызывает другое заклинание",Uma flecha mágica que lança outro feitiço no impacto.,Una flecha mágica que lanza otro hechizo al impactar,"Ein magischer Pfeil, der nach dem Aufprall einen weiteren Zauber auslöst",Une flèche magique qui lance un autre sort à l'impact,在碰撞时施放另一法术的魔法箭,接触時にもう1つの呪文をかける魔法の矢,충돌 시 다른 주문을 시전하는 마법 화살입니다,,,,
action_bullet_timer,Magic arrow with timer,Волшебная стрела с таймером,Flecha mágica com cronômetro,Flecha mágica con temporizador,Magischer Pfeil mit Timer,Flèche magique minutée,带有定时的魔法箭,タイマー付きの魔法の矢,타이머가 있는 마법 화살,,,,
actiondesc_bullet_timer,A magical arrow that casts another spell after a timer runs out,"Волшебная стрела, через определенное время вызывает другое заклинание",Uma flecha mágica que lança outro feitiço quando o tempo acaba.,Una flecha mágica que lanza otro hechizo cuando se agota el tiempo,"Ein magischer Pfeil, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft",Une flèche magique qui lance un autre sort à la fin d'une minuterie,在定时结束后施放另一法术的魔法箭,時間切れになった後にもう1つの呪文をかける魔法の矢,충돌 시 타이머가 만료되면 다른 주문을 시전하는 마법 화살입니다,,,,
action_heavy_bullet,Magic bolt,Волшебная молния,Virote mágico,Rayo mágico,Magischer Blitz,Trait magique,魔法弹,魔法のボルト,마법 볼트,,,,
actiondesc_heavy_bullet,A powerful magical projectile,Мощный волшебный снаряд,Um projétil mágico e poderoso.,Un poderoso proyectil mágico,Eine mächtiges magisches Projektil,Un puissant projectile magique,强力的魔法投射物,強力な魔法の放射物,강력한 마법 발사체입니다,,,,
action_heavy_bullet_trigger,Magic bolt with trigger,Волшебная молния с активацией,Virote mágico com gatilho,Rayo mágico activado,Magischer Blitz mit Auslöser,Trait magique à déclenchement,带有触发的魔法弹,トリガー付きの魔法のボルト,트리거가 있는 마법 볼트,,,,
actiondesc_heavy_bullet_trigger,A bolt that casts another spell upon collision,"Молния, при столкновении вызывает другое заклинание",Um virote que lança outro feitiço no impacto.,Un rayo mágico que lanza otro hechizo al impactar,"Ein Blitz, der nach dem Aufprall einen weiteren Zauber auslöst.",Un trait magique qui lance un autre sort à l'impact,在碰撞时施放另一法术的魔法弹,接触時にもう1つの呪文をかけるボルト,충돌 시 다른 주문을 시전하는 마법 볼트입니다,,,,
action_heavy_bullet_timer,Magic bolt with timer,Волшебная молния с таймером,Virote mágico com cronômetro,Rayo mágico con temporizador,Magischer Blitz mit Timer,Trait magique minuté,带有定时的魔法弹,タイマー付きの魔法のボルト,타이머가 있는 마법 볼트,,,,
actiondesc_heavy_bullet_timer,A bolt that casts another spell after a timer runs out,"Молния, через определенное время вызывает другое заклинание",Um virote que lança outro feitiço quando o tempo acaba.,Un rayo mágico que lanza otro hechizo cuando se agota el tiempo,"Ein Blitz, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft",Un trait magique qui lance un autre sort à la fin d'une minuterie,在定时结束后施放另一法术的魔法弹,時間切れになった後にもう1つの呪文をかけるボルト,충돌 시 타이머가 만료되면 다른 주문을 시전하는 마법 볼트입니다,,,,
action_slow_bullet,Energy orb,Энергетический шар,Orbe de energia,Orbe de energía,Energiekugel,Orbe énergétique,能量球,エネルギーオーブ,에너지 오브,,,,
