,en,fi-es,ru,zh-cn,jp,ko,pt-br,es-es,de,fr-fr,,NOTES – use \n for newline,max length
action_duck,Duck,,Утка,鸭子,アヒル,오리,Pato,Pato,Ente,Canard,,,
actiondesc_duck,Duck!,,Утка!,鸭子！,アヒル！,오리!,Pato!,¡Pato!,Ente!,Canard !,,,
action_sheep,Sheep,,Овца,绵羊,ヒツジ,양,Ovelha,Oveja,Schaf,Mouton,,,
actiondesc_sheep,Sheep!,,Овца!,绵羊！,ヒツジ！,양!,Ovelha!,¡Oveja!,Schaf!,Mouton !,,,
action_misfire,Misfire,,Осечка,哑火,不発,불발,Fracasso,Fallo,Fehlzündung,Raté,,,
actiondesc_misfire,Discard 1 spell,,Убирает одно заклинание,抛弃 1 个法术,1つの呪文を破棄する,주문 1개를 버립니다,Descarte um feitiço.,Descarta 1 hechizo,Verwirft 1 Zauber,Débarrassez-vous d'un sort,,,
action_misfire_critical,Misfire (critical),,Осечка (критическая),哑火（严重）,不発(クリティカル),불발(치명타),Fracasso (crítico),Fallo (crítico),Fehlzündung (kritisch),Raté (critique),,,
actiondesc_misfire_critical,Permanently destroy 1 spell,,Навсегда уничтожает одно заклинание,永久性破坏 1 个法术,1つの呪文を永久に破壊する,주문 1개를 영구적으로 파괴합니다,Destrua um feitiço permanentemente.,Destruye un hechizo permanentemente,Zerstört dauerhaft 1 Zauber,Détruisez un sort définitivement,,,
action_generate_random_deck_5,Generate random deck (5),,Создать случайную колоду (5),生成随机卡组 (5),ランダムな組み合わせを生成する(5),무작위 덱(5)을 생성합니다,Gerar baralho aleatório (5),Generar baraja aleatoria (5),Zufallsdeck generieren (5),Génère un deck aléatoire (5),,,
actiondesc_generate_random_deck_5,Current deck is replaced with a random deck of 5 cards,,Текущая колода заменяется случайной колодой из пяти карт.,以 5 张卡牌组成的随机卡组替换当前卡组,現在の組み合わせが、5枚のカードのランダムな組み合わせと入れ替えられる,현재 덱이 5개 카드로 구성된 무작위 덱으로 교체됩니다,O baralho atual é substituído por um aleatório de cinco cartas.,La baraja actual se sustituye por una baraja aleatoria de 5 cartas,Das aktuelle Deck wird durch ein zufälliges Deck aus 5 Karten ersetzt.,Le deck actuel est remplacé par un deck aléatoire de 5 cartes,,,
action_testbullet,DEBUG BULLET,,ОТЛАДОЧНАЯ ПУЛЯ,杀“虫”子弹,デバグ銃弾,디버그 총알,BALA DE DEPURAÇÃO,DISPARO DEPURADOR,DEBUG-KUGEL,BALLE DE DÉBOGAGE,,,
actiondesc_testbullet,A weak but enchanting sparkling projectile,,"Очаровательно сверкающий, но слабый снаряд",弱小但带有迷人闪烁的投射物,弱いが魅惑的なキラキラした放射物,약하지만 매력적인 빛나는 발사체입니다,"Um projétil fraco, porém reluzente e encantador.",Un débil pero encantador y brillante proyectil,"Ein schwaches, aber zauberhaft funkelndes Projektil",Un projectile brillant faible mais enchanteur,,,
action_light_bullet,Spark bolt,,Искровая молния,火花弹,スパークボルト,불꽃 볼트,Virote de fagulha,Rayo de chispa,Funkenblitz,Trait d'étincelle,,,
actiondesc_light_bullet,A weak but enchanting sparkling projectile,,"Очаровательно сверкающий, но слабый снаряд",弱小但带有迷人闪烁的投射物,弱いが魅惑的なキラキラした放射物,약하지만 매력적인 빛나는 발사체입니다,"Um projétil fraco, porém reluzente e encantador.",Un débil pero encantador y brillante proyectil,"Ein schwaches, aber zauberhaft funkelndes Projektil",Un projectile brillant faible mais enchanteur,,,
action_air_bullet,Burst of air,,Взрыв воздуха,强气流,空気破裂,공기 폭발,Sopro de ar,Chorro de aire,Luftzug,Rafale d'air,,,
actiondesc_air_bullet,Brittle flow of air capable of greatly moving things,,"Легкий поток воздуха, способный перемещать предметы",能够让物体大幅移动的一道气流,物を大幅に動かすことのできる不安定な空気の流れ,공기가 강렬하게 움직이며 물건을 움직입니다,Sopro frágil de ar capaz de mover coisas.,Un chorro de aire insignificante capaz de mover grandes cosas,"Scharfer Luftzug, der in der Lage ist, Gegenstände weit zu bewegen",Un courant d'air capable de déplacer des choses,,,
action_light_bullet_trigger,Spark bolt with trigger,,Искровая молния с активацией,带有触发的火花弹,トリガー付きのスパークボルト,트리거가 있는 불꽃 볼트,Virote de fagulha com gatilho,Rayo de chispa activado,Funkenblitz mit Auslöser,Trait d'étincelle à déclenchement,,,
actiondesc_light_bullet_trigger,A spark bolt that casts another spell upon collision,,"Искровая молния, при столкновении вызывает другое заклинание",在碰撞时施放另一法术的火花弹,接触時にもう1つの呪文をかけるスパークボルト,충돌 시 다른 주문을 시전하는 불꽃 볼트입니다,Um virote de fagulha que lança outro feitiço no impacto.,Un Rayo de chispa que lanza otro hechizo al impactar,"Ein Funkenblitz, der nach dem Aufprall einen weiteren Zauber auslöst.",Un trait d'étincelle qui lance un autre sort à l'impact,,,
action_light_bullet_trigger_2,Spark bolt with double trigger,,Искровая молния с двойной активацией,带有双重触发的火花弹,ダブルトリガー付きのスパークボルト,더블 트리거가 있는 불꽃 볼트,Virote de fagulha com gatilho duplo,Rayo de chispa doblemente activado,Funkenblitz mit Doppelauslöser,Trait d'étincelle à double déclenchement,,,
actiondesc_light_bullet_trigger_2,A spark bolt that casts two new spells upon collision,,"Искровая молния, при столкновении вызывает два новых заклинания",在碰撞时施放两个全新法术的火花弹,接触時にさらに2つの新しい呪文をかけるスパークボルト,충돌 시 다른 주문 2개를 시전하는 불꽃 볼트입니다,Um virote de fagulha que lança dois outros feitiços no impacto.,Un Rayo de chispa que lanza dos hechizos al impactar,"Ein Funkenblitz, der nach dem Aufprall zwei weitere Zauber auslöst.",Un trait d'étincelle qui lance deux nouveaux sorts à l'impact,,,
action_light_bullet_timer,Spark bolt with timer,,Искровая молния с таймером,带有定时的火花弹,タイマー付きのスパークボルト,타이머가 있는 불꽃 볼트,Virote de fagulha com cronômetro,Rayo de chispa con temporizador,Funkenblitz mit Timer,Trait d'étincelle minuté,,,
actiondesc_light_bullet_timer,A spark bolt that casts another spell after a timer runs out,,"Искровая молния, через определенное время вызывает другое заклинание",在定时结束后施放另一法术的火花弹,時間切れになった後にもう1つの呪文をかけるスパークボルト,충돌 시 타이머가 만료되면 다른 주문을 시전하는 불꽃 볼트입니다,Um virote de fagulha que lança outro feitiço quando o tempo acaba.,Un Rayo de chispa que lanza otro hechizo cuando se agota el tiempo,"Ein Funkenblitz, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft.",Un trait d'étincelle qui lance un autre sort à la fin d'une minuterie,,,
action_bullet,Magic arrow,,Волшебная стрела,魔法箭,魔法の矢,마법 화살,Flecha mágica,Flecha mágica,Magischer Pfeil,Flèche magique,,,
actiondesc_bullet,A handy magical arrow,,Удобная волшебная стрела,好用的魔法箭,便利な魔法の矢,유용한 마법 화살입니다,Uma flecha mágica e bem útil.,Una flecha mágica útil,Ein praktischer magischer Pfeil,Une flèche magique pratique,,,
action_bullet_trigger,Magic arrow with trigger,,Волшебная стрела с активацией,带有触发的魔法箭,トリガー付きの魔法の矢,트리거가 있는 마법 화살,Flecha mágica com gatilho,Flecha mágica activada,Magischer Pfeil mit Auslöser,Flèche magique à déclenchement,,,
actiondesc_bullet_trigger,A magical arrow that casts another spell upon collision,,"Волшебная стрела, при столкновении вызывает другое заклинание",在碰撞时施放另一法术的魔法箭,接触時にもう1つの呪文をかける魔法の矢,충돌 시 다른 주문을 시전하는 마법 화살입니다,Uma flecha mágica que lança outro feitiço no impacto.,Una flecha mágica que lanza otro hechizo al impactar,"Ein magischer Pfeil, der nach dem Aufprall einen weiteren Zauber auslöst",Une flèche magique qui lance un autre sort à l'impact,,,
action_bullet_timer,Magic arrow with timer,,Волшебная стрела с таймером,带有定时的魔法箭,タイマー付きの魔法の矢,타이머가 있는 마법 화살,Flecha mágica com cronômetro,Flecha mágica con temporizador,Magischer Pfeil mit Timer,Flèche magique minutée,,,
actiondesc_bullet_timer,A magical arrow that casts another spell after a timer runs out,,"Волшебная стрела, через определенное время вызывает другое заклинание",在定时结束后施放另一法术的魔法箭,時間切れになった後にもう1つの呪文をかける魔法の矢,충돌 시 타이머가 만료되면 다른 주문을 시전하는 마법 화살입니다,Uma flecha mágica que lança outro feitiço quando o tempo acaba.,Una flecha mágica que lanza otro hechizo cuando se agota el tiempo,"Ein magischer Pfeil, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft",Une flèche magique qui lance un autre sort à la fin d'une minuterie,,,
action_heavy_bullet,Magic bolt,,Волшебная молния,魔法弹,魔法のボルト,마법 볼트,Virote mágico,Rayo mágico,Magischer Blitz,Trait magique,,,
actiondesc_heavy_bullet,A powerful magical projectile,,Мощный волшебный снаряд,强力的魔法投射物,強力な魔法の放射物,강력한 마법 발사체입니다,Um projétil mágico e poderoso.,Un poderoso proyectil mágico,Eine mächtiges magisches Projektil,Un puissant projectile magique,,,
action_heavy_bullet_trigger,Magic bolt with trigger,,Волшебная молния с активацией,带有触发的魔法弹,トリガー付きの魔法のボルト,트리거가 있는 마법 볼트,Virote mágico com gatilho,Rayo mágico activado,Magischer Blitz mit Auslöser,Trait magique à déclenchement,,,
actiondesc_heavy_bullet_trigger,A bolt that casts another spell upon collision,,"Молния, при столкновении вызывает другое заклинание",在碰撞时施放另一法术的魔法弹,接触時にもう1つの呪文をかけるボルト,충돌 시 다른 주문을 시전하는 마법 볼트입니다,Um virote que lança outro feitiço no impacto.,Un rayo mágico que lanza otro hechizo al impactar,"Ein Blitz, der nach dem Aufprall einen weiteren Zauber auslöst.",Un trait magique qui lance un autre sort à l'impact,,,
action_heavy_bullet_timer,Magic bolt with timer,,Волшебная молния с таймером,带有定时的魔法弹,タイマー付きの魔法のボルト,타이머가 있는 마법 볼트,Virote mágico com cronômetro,Rayo mágico con temporizador,Magischer Blitz mit Timer,Trait magique minuté,,,
actiondesc_heavy_bullet_timer,A bolt that casts another spell after a timer runs out,,"Молния, через определенное время вызывает другое заклинание",在定时结束后施放另一法术的魔法弹,時間切れになった後にもう1つの呪文をかけるボルト,충돌 시 타이머가 만료되면 다른 주문을 시전하는 마법 볼트입니다,Um virote que lança outro feitiço quando o tempo acaba.,Un rayo mágico que lanza otro hechizo cuando se agota el tiempo,"Ein Blitz, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft",Un trait magique qui lance un autre sort à la fin d'une minuterie,,,
action_slow_bullet,Energy orb,,Энергетический шар,能量球,エネルギーオーブ,에너지 오브,Orbe de energia,Orbe de energía,Energiekugel,Orbe énergétique,,,
actiondesc_slow_bullet,A slow but powerful orb of energy.,,"Медленный, но мощный шар энергии.",缓慢而强大的能量球体,ゆっくりだが強力なエネルギーのオーブ。,느리지만 강력한 에너지 오브입니다,"Um orbe de energia lento, porém poderoso.",Un lento pero poderoso orbe de energía.,"Eine langsame, aber mächtige Energiekugel.",Un orbe énergétique lent mais puissant,,,
action_slow_bullet_trigger,Energy orb with a trigger,,Энергетический шар с активацией,带有触发的能量球,トリガー付きのオーブ,트리거가 있는 에너지 오브,Orbe de energia com gatilho,Orbe de energía activado,Energiekugel mit Auslöser,Orbe énergétique à déclenchement,,,
actiondesc_slow_bullet_trigger,A slow but powerful orb of energy that casts another spell upon collision,,"Медленный, но мощный шар энергии, при столкновении вызывает другое заклинание",缓慢而强大的能量球体，在碰撞时施放另一法术,ゆっくりだが強力なエネルギーのオーブで、接触時にもう1つの呪文をかける,충돌 시 다른 주문을 시전하는 느리지만 강력한 에너지 오브입니다,"Um orbe de energia lento, porém poderoso que lança outro feitiço no impacto.",Un lento pero poderoso orbe de energía que lanza otro hechizo al impactar,"Eine langsame, aber mächtige Energiekugel, die nach dem Aufprall einen weiteren Zauber auslöst",Un orbe énergétique lent mais puissant qui lance un autre sort à l'impact,,,
action_slow_bullet_timer,Energy orb with a timer,,Энергетический шар с таймером,带有定时的能量球,タイマー付きのオーブ,타이머가 있는 에너지 오브,Orbe de energia com cronômetro,Orbe de energía con temporizador,Energiekugel mit Timer,Orbe énergétique minuté,,,
actiondesc_slow_bullet_timer,A slow but powerful orb of energy with a timer,,"Медленный, но мощный шар энергии, с таймером",缓慢而强大的能量球体，带有定时,ゆっくりだが強力な、タイマー付きのエネルギーのオーブ。,타이머가 있는 느리지만 강력한 에너지 오브입니다,"Um orbe de energia lento, porém poderoso com um cronômetro.",Un lento pero poderoso orbe de energía con temporizador,"Eine langsame, aber mächtige Energiekugel mit Timer",Un orbe énergétique lent mais puissant avec une minuterie,,,
action_black_hole,Black hole,,Черная дыра,黑洞,ブラックホール,블랙홀,Buraco negro,Agujero negro,Schwarzes Loch,Trou noir,,,
actiondesc_black_hole,A slow orb of void that eats through all obstacles,,"Медленный шар пустоты, пожирающий препятствия",缓慢的虚无球体，会吞噬沿路的一切障碍,全ての障害物を飲み込んでいく、ゆっくりとした空間のオーブ,모든 장애물을 먹어치우는 느린 무의 오브입니다,Um orbe de limbo lento que suga todos os obstáculos.,Un lento orbe de vacío que devora todo a su paso,"Eine langsame Kugel der Leere, die sich durch alle Hindernisse frisst",Un orbe de néant lent qui dévore tous les obstacles,,,
action_black_hole_big,Giga black hole,,Огромная черная дыра,巨大黑洞,ギガブラックホール,거대한 블랙홀,Buraco negro gigante,Agujero negro gigante,Gigantisches schwarzes Loch,Giga trou noir,,,
actiondesc_black_hole_big,A growing orb of negative energy that destroys everything in its reach,,"Растущий шар негативной энергии, разрушающий всё в пределах ее досягаемости",不断增长的负面能量球体，摧毁所及的一切,到達範囲にあるもの全てを破壊して行く、成長するマイナスエネルギーのオーブ,닿는 것을 모두 파괴하는 음의 기운이 뭉친 점점 커지는 오브입니다,Um orbe crescente de energia negativa que destrói tudo em seu alcance.,Un orbe de energía negativa creciente que destruye todo a su paso,"Eine wachsende Kugel aus negativer Energie, die alles in ihrer Reichweite vernichtet",Un orbe grandissant d'énergie négative qui détruit tout ce qu'il touche,,,
action_decoy,Decoy,,Приманка,诱饵,囮,미끼,Isca,Señuelo,Köder,Leurre,,,
actiondesc_decoy,Creates a decoy for distracting enemies,,"Создает отвлекающую врагов приманку,",制作一个吸引敌人的诱饵,敵の注意を引くための囮を作り出す,적의 주의를 분산하는 미끼를 생성합니다,Cria uma isca para distrair inimigos.,Crea un señuelo que distrae enemigos,Erstellt einen Köder zur Ablenkung von Feinden,Crée un leurre qui attire l'attention des ennemis,,,
action_decoy_trigger,Decoy with trigger,,Приманка с активацией,带有触发的诱饵,トリガー付きの囮,트리거가 있는 미끼,Isca com gatilho,Señuelo activado,Köder mit Auslöser,Leurre à déclenchement,,,
actiondesc_decoy_trigger,Creates a decoy for distracting enemies that casts another spell after a timer runs out,,"Создает отвлекающую врагов приманку, через определенное время вызывает другое заклинание",制造一个吸引敌人的诱饵，在过去一段时间后施放另一法术,時間切れになった後にもう1つの呪文をかけ、敵の注意を引く囮を作り出す,충돌 시 타이머가 만료되면 다른 주문을 시전하는 미끼입니다,Cria uma isca para distrair inimigos que lança outro feitiço quando o tempo acaba.,Crea un señuelo que distrae enemigos que lanza otro hechizo cuando se agota el tiempo,"Erstellt einen Köder zur Ablenkung von Feinden, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft",Crée un leurre qui lance un autre sort à la fin d'une minuterie pour distraire les ennemis,,,
action_spitter,Spitter bolt,,Молния-плевок,分裂弹,スピッターボルト,스피터 볼트,Virote cuspidor,Mini rayo,Zündschnurblitz,Trait cracheur,,,
actiondesc_spitter,A short-lived magical bolt,,Недолговечная волшебная молния,寿命短暂的魔法弹,短命の魔法のボルト,금방 없어지는 마법 볼트입니다,Um breve virote mágico.,Un proyectil mágico de corta duración,Ein kurzlebiger magischer Blitz,Un trait magique éphémère,,,
action_spitter_timer,Spitter bolt with timer,,Молния-плевок с таймером,带有定时的分裂弹,タイマー付きのスピッターボルト,타이머가 있는 스피터 볼트,Virote cuspidor com cronômetro,Mini rayo con temporizador,Zündschnurblitz mit Timer,Trait cracheur minuté,,,
actiondesc_spitter_timer,A short-lived magical bolt that casts another spell after a timer runs out,,"Недолговечная волшебная молния, через определенное время вызывает другое заклинание",在过去一段时间后施放另一法术的寿命短暂魔法弹,時間切れになった後にもう1つの呪文をかける、短命の魔法ボルト,충돌 시 타이머가 만료되면 다른 주문을 시전하는 금방 없어지는 스피터 볼트입니다,Um breve virote mágico que lança outro feitiço quando o tempo acaba.,Un mini rayo que lanza otro hechizo cuando se agota el tiempo,"Ein kurzlebiger magischer Blitz, der einen weiteren Zauber auslöst, nachdem ein Timer abläuft",Un trait magique éphémère qui lance un autre sort à la fin d'une minuterie,,,
action_bubbleshot,Bubble spark,,Пузырьковая искра,泡泡火花,バブルスパーク,버블 불꽃,Fagulha de bolha,Chispa burbuja,Sprudelfunken,Bulle-étincelle,,,
actiondesc_bubbleshot,A bouncy but inaccurate spell,,"Хорошо отскакивающее, но неточное заклинание",弹性十足但不够准确的法术,バウンドするが、正確ではない呪文,튕겨 다니지만 명중률이 낮은 주문입니다,Um feitiço ricocheteante e impreciso.,Un hechizo rebotador de poca precisión,"Ein umherspringender, aber unpräziser Zauber",Un sort à rebonds mais peu précis,,,
action_bubbleshot_trigger,Bubble spark with trigger,,Пузырьковая искра с активацией,带有触发的泡泡火花,トリガー付きのバブルスパーク,트리거가 있는 버블 불꽃,Fagulha de bolha com gatilho,Chispa burbuja activada,Sprudelfunken mit Auslöser,Bulle-étincelle à déclenchement,,,
actiondesc_bubbleshot_trigger,A bouncy but inaccurate spell that casts another spell upon collision,,"Хорошо отскакивающее, но неточное заклинание, при столкновении вызывает другое заклинание",弹性十足但不够准确的法术，在碰撞时施放另一法术,接触時にもう1つの呪文をかける、バウンドするが、正確ではない呪文,충돌 시 다른 주문을 시전하는 튕겨 다니지만 명중률이 낮은 주문입니다,Um feitiço saltitante e impreciso que lança outro feitiço no impacto.,Un hechizo rebotador de poca precisión que lanza otro hechizo al impactar,"Ein umherspringender aber unpräziser Zauber, der nach dem Aufprall einen weiteren Zauber auslöst",Un sort à rebonds mais peu précis qui lance un autre sort à l'impact,,,
action_disc_bullet,Summon disc projectile,,Вызов дискового снаряда,召唤碟状投射物,円盤放射物召喚,디스크 발사체 소환,Evocar projétil de disco,Invocar disco proyectil,Scheibenprojektil beschwören,Disque invoqué,,,
actiondesc_disc_bullet,Summons a sharp disc projectile,,Вызывает острый дисковый снаряд,召唤锐利的碟状投射物,鋭い円盤放射物を召喚する,날카로운 디스크 발사체를 소환합니다,Evoca um projétil de disco afiado.,Invoca un disco proyectil afilado,Beschwört ein scharfes Scheibenprojektil,Invoque un projectile tranchant en forme de disque,,,
action_bouncy_orb,Energy sphere,,Энергетическая сфера,能量球体,エネルギー球体,에너지 구체,Esfera de energia,Esfera de energía,Energiesphäre,Sphère d'énergie,,,
actiondesc_bouncy_orb,"A fast, arcing projectile",,Быстрый дуговой снаряд,快速的弧线行进投射物,素早いアーク放電放射物,빠르게 원호를 그리는 발사체입니다,Um projétil de arco rápido.,Un proyectil rápido que se desplaza en un arco,"Ein schnelles, bogenförmiges Projektil",Un projectile rapide à la trajectoire arquée,,,
action_bouncy_orb_timer,Energy sphere with timer,,Энергетическая сфера с таймером,带有定时的能量球体,タイマー付きのエネルギー球体,타이머가 있는 에너지 구체,Esfera de energia com cronômetro,Esfera de energía con temporizador,Energiesphäre mit Timer,Sphère d'énergie minutée,,,
actiondesc_bouncy_orb_timer,"A fast, arcing projectile with a timer",,Быстрый дуговой снаряд с таймером,带有定时，快速的弧线行进投射物,タイマー付きの、素早いアーク放電放射物,타이머가 있는 빠르게 원호를 그리는 발사체입니다,Um projétil de arco rápido e com um cronômetro.,Un proyectil rápido que se desplaza en un arco con temporizador,"Ein schnelles, bogenförmiges Projektil mit einem Timer",Un projectile rapide à la trajectoire arquée avec une minuterie,,,
action_rubber_ball,Bouncing burst,,Скачущий взрыв,弹跳爆发,バウンドバースト,바운스 버스트,Projétil ricocheteante,Ráfaga rebotadora,Springende Explosion,Salve à rebonds,,,
actiondesc_rubber_ball,A very bouncy projectile,,Очень хорошо отскакивающий снаряд,极具弹跳力的投射物,非常にバウンドする放射物,통통 튕기는 발사체입니다,Um projétil bem ricocheteante.,Un proyectil que rebota mucho,Ein sehr sprunghaftes Projektil,Un projectile très rebondissant,,,
action_arrow,Summon Arrow,,Вызов стрелы,召唤箭矢,矢の召喚,화살 소환,Evocar flecha,Invocar flecha,Pfeil beschwören,Flèche invoquée,,,
actiondesc_arrow,Summons an arrow,,Вызывает стрелу,召唤一支箭矢,矢を召喚する,화살을 소환합니다,Evoca uma flecha.,Invoca una flecha,Beschwört einen Pfeil,Invoque une flèche,,,
action_lance,Glowing lance,,Светящееся копье,闪耀之枪,光る槍,빛나는 창,Lança brilhante,Lanza brillante,Leuchtende Lanze,Lance luisante,,,
actiondesc_lance,A magical lance that cuts through soft materials,,"Волшебное копье, прорезающее мягкие материалы",一支能够穿透柔软材料的魔法长枪,柔らかい素材を切り抜く魔法の槍,부드러운 재료를 자를 수 있는 마법 창입니다,Uma lança mágica que atravessa materiais frágeis.,Una lanza mágica que atraviesa materiales blandos,"Eine magische Lanze, die durch weiche Substanzen dringt",Une lance magique qui traverse les matériaux souples,,,
action_rocket,Magic missile,,Волшебная ракета,魔法飞弹,魔法のミサイル,마법 미사일,Míssil mágico,Misil mágico,Magisches Geschoss,Missile magique,,,
actiondesc_rocket,"A fiery, explosive projectile",,Огненный взрывающийся снаряд,炽烈易爆的投射物,激烈な、起爆性の放射物,화염성 폭발 발사체입니다,Um projétil flamejante e explosivo.,Un proyectil ardiente y explosivo,"Ein feuriges, explosives Projektil",Un projectile enflammé et explosif,,,
action_rocket_tier_2,Large magic missile,,Большая волшебная ракета,大型魔法飞弹,大きな魔法のミサイル,대형 마법 미사일,Míssil mágico grande,Misil mágico grande,Großes magisches Geschoss,Grand missile magique,,,
actiondesc_rocket_tier_2,A more powerful version of Magic missile,,Более мощная версия волшебной ракеты,魔法飞弹的更强大版本,更に強力な魔法のミサイル,마법 미사일의 강화 버전입니다,Uma versão mais poderosa do míssil mágico.,Una versión más poderosa de Misil mágico,Eine mächtigere Version des magischen Geschosses,Une version plus puissante du missile magique,,,
action_rocket_tier_3,Giant magic missile,,Огромная волшебная ракета,巨型魔法飞弹,巨大な魔法のミサイル,초대형 마법 미사일,Míssil mágico gigante,Misil mágico gigante,Gigantisches magisches Geschoss,Missile magique géant,,,
actiondesc_rocket_tier_3,The most powerful version of Magic missile,,Самая мощная версия волшебной ракеты,最强大形式的魔法飞弹,最も強力な魔法のミサイル,가장 강력한 마법 미사일입니다,A versão mais poderosa do míssil mágico.,La versión más poderosa de Misil mágico,Die mächtigste Version des magischen Geschosses,La version la plus puissante du missile magique,,,
action_grenade,Firebolt,,Огненная молния,火焰弹,ファイヤーボルト,화염 볼트,Virote de fogo,Saeta de fuego,Feuerblitz,Trait enflammé,,,
actiondesc_grenade,"A bouncy, explosive bolt",,Хорошо отскакивающая взрывающаяся молния,具备弹跳能力的爆炸性魔法弹,バウンドする、起爆性ボルト,튕겨 다니는 폭발성 볼트입니다,Um virote explosivo e ricocheteante.,Un proyectil explosivo que rebota,"Ein umherspringender, explosiver Blitz",Un trait à rebonds et explosif,,,
action_grenade_tier_2,Large firebolt,,Большая огненная молния,大型火焰弹,大きなファイヤーボルト,대형 화염 볼트,Virote de fogo grande,Saeta de fuego grande,Großer Feuerblitz,Grand trait enflammé,,,
actiondesc_grenade_tier_2,A more powerful version of Firebolt,,Более мощная версия огненной молнии,火焰弹的更强大版本,更に強力なファイヤーボルト,화염 볼트의 강화 버전입니다,Uma versão mais poderosa do virote de fogo.,Una versión más poderosa de Saeta de fuego,Eine mächtigere Version des Feuerblitzes,Une version plus puissante du trait enflammé,,,
action_grenade_tier_3,Giant firebolt,,Огромная огненная молния,巨型火焰弹,巨大なファイヤーボルト,초대형 화염 볼트,Virote de fogo gigante,Saeta de fuego gigante,Gigantischer Feuerblitz,Trait enflammé géant,,,
actiondesc_grenade_tier_3,The most powerful version of Firebolt,,Самая мощная версия огненной молнии,最强大形式的火焰弹,最も強力なファイヤーボルト,가장 강력한 화염 볼트입니다,A versão mais poderosa do virote de fogo.,La versión más poderosa de Saeta de fuego,Die mächtigste Version des Feuerblitzes,La version la plus puissante du trait enflammé,,,
action_grenade_trigger,Firebolt with trigger,,Огненная молния с активацией,带有触发的火焰弹,トリガー付きのファイヤーボルト,트리거가 있는 화염 볼트,Virote de fogo com cronômetro,Saeta de fuego activada,Feuerblitz mit Auslöser,Trait enflammé à déclenchement,,,
actiondesc_grenade_trigger,A firebolt that that casts another spell upon collision,,"Огненная молния, при столкновении вызывает другое заклинание",在碰撞时施放另一法术的火焰弹,接触時にもう1つの呪文をかけるファイヤーボルト,충돌 시 다른 주문을 시전하는 화염 볼트입니다,Um virote de fogo que lança outro feitiço no impacto.,Una Saeta de fuego que lanza otro hechizo al impactar,"Ein Feuerblitz, der nach dem Aufprall einen weiteren Zauber auslöst.",Un trait enflammé qui lance un autre sort à l'impact,,,
action_grenade_anti,Odd Firebolt,,Странная огненная молния,怪异火焰弹,奇妙なファイヤーボルト,이상한 화염 볼트,Virote de fogo estranho,Saeta de fuego extraña,Merkwürdiger Feuerblitz,Trait enflammé étrange,,,
actiondesc_grenade_anti,"A somewhat peculiar bouncy, explosive bolt",,"Странноватая, хорошо отскакивающая взрывающаяся молния",特别能弹跳的爆炸魔法弹,何故だか奇妙な、バウンドする起爆性ボルト,이상하게 튕겨 다니는 폭발성 볼트입니다,"Um virote explosivo, ricocheteante e meio peculiar.",Una Saeta de fuego peculiar que rebota y explota,"Ein etwas eigenartiger umherspringender, explosiver Blitz",Un trait à rebonds et explosif assez particulier,,,
action_grenade_large,Dropper bolt,,Падающая молния,坠落弹,ドロッパーボルト,단거리 볼트,Virote exterminador,Saeta pesada,Wurfblitz,Trait tombeur,,,
actiondesc_grenade_large,A very heavy explosive bolt,,Очень тяжелая взрывающаяся молния,极为沉重的爆炸魔法弹,非常に重たい起爆性ボルト,매우 무거운 폭발성 볼트입니다,Um virote explosivo muito pesado.,Un proyectil muy pesado y explosivo,"Ein sehr schwerer, explosiver Blitz",Un trait explosif très lourd,,,
action_mine,Unstable crystal,,Нестабильный кристалл,不稳晶体,不安定なクリスタル,불안정한 수정,Cristal instável,Cristal inestable,Instabiler Kristall,Cristal instable,,,
actiondesc_mine,A crystal that explodes when someone comes nearby,,"Кристалл, взрывающийся при приближении к нему",有人来到近旁便会爆炸的晶体,誰かが近くに来ると爆発するクリスタル,누군가 가까이 오면 폭발하는 수정입니다,Um cristal que explode quando alguém se aproxima dele.,Un cristal que explota cuando alguien se acerca,"Ein Kristall, der explodiert, wenn jemand in seine Nähe kommt",Un cristal qui explose quand quelqu'un s'en approche,,,
action_mine_death_trigger,Unstable crystal with trigger,,Нестабильный кристалл с активацией,带有触发的不稳晶体,トリガー付きの不安定なクリスタル,트리거가 있는 불안정한 수정,Cristal instável com gatilho,Cristal inestable activado,Instabiler Kristall mit Auslöser,Cristal instable à déclenchement,,,
actiondesc_mine_death_trigger,A crystal that explodes and casts another spell when someone comes nearby,,"Кристалл, который взрывается и вызывает другое заклинание при приближении к нему",有人来到近旁便会爆炸，同时施放另一法术的晶体,誰かが近くに来ると爆発し、もう1つの呪文をかけるクリスタル,누군가 가까이 오면 폭발하고 주문을 시전하는 수정입니다,Um cristal que explode e lança outro feitiço quando alguém se aproxima dele.,Un cristal que explota y lanza otro hechizo cuando alguien se acerca,"Ein Kristall, der explodiert und einen weiteren Zauber auslöst, wenn jemand in seine Nähe kommt",Un cristal qui explose et lance un autre sort quand quelqu'un s'en approche,,,
action_pipe_bomb,Dormant crystal,,Дремлющий кристалл,休眠晶体,休眠クリスタル,휴면 상태 수정,Cristal dormente,Cristal durmiente,Inaktiver Kristall,Cristal dormant,,,
